91gezi.com;scxxs.com;scxxs.cn;100eec.com;,116.255.137.139;116.255.137.139;118.123.213.35;
ulfan.com;,118.123.213.74;
scyxt.com;scyxt.cn;sc-yxt.com;sc-yxt.cn;,219.153.48.138;
xyz1818.com;,96.44.137.130;
shzsh.org;,219.153.19.115;
chuanzhitech.com;,203.171.234.221;61.139.8.100;
richsc.net;,61.188.37.35;
cdzg.com;rr19.com;nn19.com;okk1.com;,125.65.111.90;
olivetree-cn.com;,219.153.19.5;
schx888.com;hxwood.cn;,210.51.169.59;219.153.19.115;
sc-chjx.com;,125.65.109.95;
pacific-sc.com;,118.123.213.31;125.71.225.80;
weiba114.com;,118.123.213.45;
sctxjt.com;,125.65.111.92;
xinchengge.cn;,118.123.213.24;
icdify.com;,125.65.111.117;
zhongdaoxingye.com;,125.65.111.117;
cdkaitong.com;,219.153.22.68;
tuhuiprint.com;,125.65.111.92;
kouyu120.cn;,123.71.255.155;
cdxy.org;,219.153.48.249;
vpointcg.com;,219.153.48.138;
tour110.com;,125.65.109.49;
57ems.com;,125.65.109.49;
cacheinfo.cn;,219.153.48.138;
gjy114.com;,118.123.213.25;
fkwc114.com;,118.123.213.25;
fkzx114.com;,118.123.213.25;
vdlya.com;,118.123.213.25;
vd120.com;,118.123.213.25;
68666666.com;,118.123.213.25;
fktj114.com;,118.123.213.25;
ydy114.com;,118.123.213.25;
tpy9999.com;,118.123.213.25;
yjb114.com;,118.123.213.25;
zgjl114.com.cn;,118.123.213.25;
itobuy.cn;itobuy.com;,125.65.111.92;
cpsac.org.cn;,219.153.22.57;
kqeye.com;,118.123.213.25;
eyebank.org.cn;,61.155.51.144;
lzqxjy.com;,118.123.9.24;
lzlljy.com.cn;,118.123.9.24;
xjxmz.cn;xjmz.sc;,219.153.22.68;
028116.com;028186.com;linmu777.com;,125.65.111.75;
92579.com;,125.67.234.187;
cdboda.net;,125.65.111.92;
taiyuls.com;,123.71.255.155;
lzngx.cn;,180.185.1.149;
lwdz.net;,125.65.109.35;
jiayuanpet.com;,125.65.111.114;
scjwyt.com;,125.65.111.92;
etamcom.com;,125.65.46.69;
tq120.net;tq120.org;tqx120.com;,125.65.111.92;
tuangou9.net;,96.44.137.130;
rlmcor.com;,125.65.111.65;
scqylh.com;,125.65.111.92;
17668.net;,61.188.87.118;
lszdaj.com;,125.65.111.107;
